"sentence_id","condition","all_exposures","first_three_exposures","mean_surprisal","weight_first","weight_last","weight_sum","normalized","wh","matrix","comp","embedded","gap","matrix_norm","comp_norm","embedded_norm","gap_norm"
190,"FILL",0.94215250965251,0.926640926640927,7.385761462152,7.57885746691825,9.76516251187522,8.67200998939673,0.945653393990501,0,0,"0",0,0,0,"0",0,0
191,"FILL",0.84905534351145,0.823129770992366,7.11081029687609,7.28552590915929,9.8825996401113,8.58406277463529,0.840351024561399,0,0,"0",0,0,0,"0",0,0
197,"UNGRAM",0.0351176470588235,0.0361782178217822,5.72458528326108,6.80539558991738,9.310650922135,8.05802325602619,0.72904225862858,0,0,"0",0,30,0,"0",0,30
198,"UNGRAM",0.043841059602649,0.0386380597014925,5.41348990009111,6.4756017958233,10.1293602821748,8.30248103899907,0.668424485391694,0,0,"0",0,30,0,"0",0,30
199,"UNGRAM",0.0449367088607595,0.043399209486166,7.01037540435791,8.08307367423202,10.8242092532749,9.45364146375346,0.8599684698892,0,0,"0",0,30,0,"0",0,30
200,"UNGRAM",0.0380324737344795,0.038014440433213,7.379851772512,7.56075859873757,11.7935251053257,9.67714185203163,0.803781843112667,0,0,"0",0,30,0,"0",0,30
201,"UNGRAM",0.0418666666666667,0.0391596638655462,7.7916198146806,6.55281804073188,9.99262904098833,8.2727235408601,0.898068542000208,0,0,"0",0,30,0,"0",0,30
202,"UNGRAM",0.0330388349514563,0.0303675048355899,7.66120246052742,6.2617687751064,9.24579204326022,7.75378040918331,0.809364656076818,0,0,"0",0,30,0,"0",0,30
203,"UNGRAM",0.0360575968222443,0.0340873015873016,6.71442720691363,8.27396126982608,9.15700392181596,8.71548259582102,0.841265269797074,0,0,"0",0,30,0,"0",0,30
204,"UNGRAM",0.0356175298804781,0.0371862348178138,6.5109855333964,7.3432532137975,8.45169525473195,7.89747423426473,0.769297886551937,0,0,"0",0,30,0,"0",0,30
205,"UNGRAM",0.0479420289855072,0.0487624750499002,8.17563856765628,8.25669546411138,9.04145589188298,8.64907567799718,0.814263000034799,0,0,"0",0,30,0,"0",0,30
206,"UNGRAM",0.0397148676171079,0.0323412698412698,6.63403760592143,7.71983054878825,9.37010495508629,8.54496775193727,0.824271445792779,0,0,"0",0,30,0,"0",0,30
207,"UNGRAM",0.0363592233009709,0.0345490196078431,6.56419260104497,7.80744197835468,8.92462489363793,8.36603343599631,0.781855807789586,0,0,"0",0,30,0,"0",0,30
