"#Data from Experiment 1 of Sprouse, Jon, Matt Wagers, & Colin Phillips. 2012. A test of the relation between working memory capacity and syntactic island effects. Language 88(1): 82-123.",,,,,,,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,,,,,,
,,,,,,,,,,,
subject,gender,age,recall,survey,condition,subdesign,structure,distance,item,raw.judgment,zscores
85,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,2,-1.297080038
86,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.626947326
86,F,21,4.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,4,-0.332580393
87,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-2.022043377
87,F,21,4.75,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,2,-1.526849081
88,F,20,6,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,2,-1.072979362
88,F,20,6,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,2,-1.072979362
89,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.a,1,-1.577984656
89,F,22,3.5,5,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.5.b,1,-1.577984656
90,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,5,0
90,M,20,4.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,3,-0.788997184
91,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.889858318
91,M,20,5.25,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,2,-0.889858318
92,M,22,2.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.88100843
92,M,22,2.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,7,1.803969642
93,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-0.014213198
93,M,25,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,6,1.350253792
94,F,22,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.896410198
94,F,22,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.331033325
95,M,21,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,3,-0.410834459
95,M,21,6,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.249985694
96,F,18,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,4,-1.489521452
96,F,18,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,4,-1.489521452
97,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-2.129850909
97,M,19,3.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,5,-0.24826483
98,M,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.a,2,-0.926652719
98,M,21,4.75,6,ADJ.isl.em,adj,island,embedded,ADJ.isl.em.6.b,1,-1.310095224
