"#Data from Sprouse, Jon, Carson T. Schütze, & Diogo Almeida. 2013. A comparison of informal and formal acceptability judgments using a random sample from Linguistic Inquiry 2001-2010. Lingua 134: 219-248.",,,,,,
#This data is provided in the spirit of open science so that other researchers can verify the analyses.,,,,,,
#Please contact Jon Sprouse if you would like to discuss the possibility of using this data set for novel research.,,,,,,
"#If you are using R to read this file, try adding skip=5 to the read function.",,,,,,
,,,,,,
participant,survey,order,judgment,item,condition,zscores
3,1.1,54,90,34.1.basilico.96a.??.07,34.1.basilico.96a.??,0.089802882
3,1.1,55,20,34.1.basilico.44b.*.01,34.1.basilico.44b.*,-0.851245286
3,1.1,56,300,32.3.fanselow.59a.g.02,32.3.fanselow.59a.g,2.912947388
3,1.1,57,10,37.3.becker.5b.*.01,37.3.becker.5b.*,-0.985680739
3,1.1,58,120,34.1.phillips.3d.g.06,34.1.phillips.3d.g,0.49310924
3,1.1,59,150,34.4.boskovic.4a.g.04,34.4.boskovic.4a.g,0.896415598
3,1.1,60,200,32.2.stroik.17a.g.02,32.2.stroik.17a.g,1.568592861
3,1.1,61,50,41.3.Vicente.4a6.*.03,41.3.Vicente.4a6.*,-0.447938928
3,1.1,62,300,41.3.Vicente.4b6.g.04,41.3.Vicente.4b6.g,2.912947388
3,1.1,63,80,40.1.stepanov.4b.*.05,40.1.stepanov.4b.*,-0.04463257
3,1.1,64,60,37.1.boeckx.8.g.04,37.1.boeckx.8.g,-0.313503476
3,1.1,65,40,32.4.lopez.9a.g.04,32.4.lopez.9a.g,-0.582374381
3,1.1,66,10,33.1.denDikken.58a.*.03,33.1.denDikken.58a.*,-0.985680739
3,1.1,67,90,33.4.neeleman.100.*.05,33.4.neeleman.100.*,0.089802882
3,1.1,68,50,32.1.martin.69b.*.01,32.1.martin.69b.*,-0.447938928
3,1.1,69,70,35.3.richards.17a.g.08,35.3.richards.17a.g,-0.179068023
3,1.1,70,10,34.1.basilico.62.*.07,34.1.basilico.62.*,-0.985680739
3,1.1,71,150,34.2.caponigro.13a.g.06,34.2.caponigro.13a.g,0.896415598
3,1.1,72,80,33.4.neeleman.18c.g.04,33.4.neeleman.18c.g,-0.04463257
3,1.1,73,200,32.4.lopez.10a.*.03,32.4.lopez.10a.*,1.568592861
3,1.1,74,200,34.3.heycock.16.g.02,34.3.heycock.16.g,1.568592861
3,1.1,75,10,34.4.boskovic.3e.*.01,34.4.boskovic.3e.*,-0.985680739
3,1.1,76,200,34.1.fox.23.g.04,34.1.fox.23.g,1.568592861
3,1.1,77,10,34.1.phillips.3e.*.05,34.1.phillips.3e.*,-0.985680739
3,1.1,78,150,32.1.martin.1a.g.08,32.1.martin.1a.g,0.896415598
3,1.1,79,10,32.3.fanselow.59b.*.01,32.3.fanselow.59b.*,-0.985680739
3,1.1,80,200,41.4.Haegeman.4c.g.06,41.4.Haegeman.4c.g,1.568592861
3,1.1,81,40,38.4.kallulli.10b.*.05,38.4.kallulli.10b.*,-0.582374381
3,1.1,82,10,35.3.hazout.67a.g.08,35.3.hazout.67a.g,-0.985680739
3,1.1,83,50,41.4.Haegeman.18a.*.07,41.4.Haegeman.18a.*,-0.447938928
3,1.1,84,100,34.4.haegeman.2a.*.01,34.4.haegeman.2a.*,0.224238335
3,1.1,85,30,38.4.kallulli.10a.g.06,38.4.kallulli.10a.g,-0.716809833
3,1.1,86,20,34.1.phillips.96a.*.03,34.1.phillips.96a.*,-0.851245286
3,1.1,87,5,35.1.mcginnis.32b.*.01,35.1.mcginnis.32b.*,-1.052898465
3,1.1,88,20,32.3.Culicover.49a.g.08,32.3.Culicover.49a.g,-0.851245286
